Name;Age;Boarded;Position;Lifeboat;Body;Sex;Class;Group
"Thayer, Mr. John Borland ""Jack"" III";17;C;1classPass;B;;m;1;1c0ser
Thorne, Mrs. Gertrude Maybelle (née McMinn);37;C;1classPass;D;;f;1;1c0ser
Tucker, Mr. Gilbert Milligan Jr.;31;C;1classPass;7;;m;1;1c0ser
Uruchurtu, Don Manuel E.;39;C;1classPass;;;m;1;1c0ser
Van der Hoef, Mr. Wyckoff;61;B;1classPass;;245MB;m;1;1c0ser
Walker, Mr. William Anderson;48;S;1classPass;;;m;1;1c0ser
Warren, Mr. Frank Manley;63;C;1classPass;;;m;1;1c0ser
Warren, Mrs. Anna Sophia (née Atkinson);60;C;1classPass;5;;f;1;1c0ser
Weir, Colonel John;59;S;1classPass;;;m;1;1c0ser
White, Mr. Percival Wayland;54;S;1classPass;;;m;1;1c0ser
White, Mr. Richard Frasar;21;S;1classPass;;169MB;m;1;1c0ser
Wick, Colonel George Dennick;58;S;1classPass;;;m;1;1c0ser
Wick, Mrs. Mary (née Hitchcock);45;S;1classPass;8;;f;1;1c0ser
Wick, Miss Mary Natalie;31;S;1classPass;8;;f;1;1c0ser
Widener, Mr. Harry Elkins;27;S;1classPass;;;m;1;1c0ser
Willard, Miss Constance;21;S;1classPass;8;;f;1;1c0ser
Williams, Mr. Charles Duane;51;C;1classPass;;;m;1;1c0ser
Williams, Mr. Richard Norris II;21;C;1classPass;A;;m;1;1c0ser
Woolner, Mr. Hugh;45;S;1classPass;D;;m;1;1c0ser
Wright, Mr. George;62;S;1classPass;;;m;1;1c0ser
Young, Miss Marie Grice;36;C;1classPass;8;;f;1;1c0ser
Allison, Mrs. Bessie Waldo (née Daniels);25;S;1classPass;;;f;1;1c1serv
Allison, Master Hudson Trevor;0,916;S;1classPass;11;;m;1;1c1serv
Aubart, Mrs. Léontine Pauline[67];24;C;1classPass;9;;m;1;1c1serv
Bucknell, Mrs. Emma Eliza (née Ward);59;C;1classPass;8;;f;1;1c1serv
Cardeza, Mrs. Charlotte Wardle (née Drake);58;C;1classPass;3;;f;1;1c1serv
Cardeza, Mr. Thomas Drake Martinez;36;C;1classPass;3;;m;1;1c1serv
Carter, Mrs. Lucile (née Polk);36;S;1classPass;4;;f;1;1c1serv
